ID,样点,样方,纬度,经度,总穗数(万/ha),穗粒数,千粒重(g),含水量(%),实际产量(kg/ha),实际产量(kg/ha)去除水分,理论产量(kg/ha),理论产量(kg/ha)*0.85
1,1,1,"32.28211115	","119.82182918	",436,32.8,46.388,12.8,5612.6,4894.1872,6633.855 ,5638.777 
2,1,2,"32.28204356	","119.82209905	",342,42.25,43.778,12,6315.5,5557.64,6325.702 ,5376.847 
3,1,3,"32.28184543	","119.82230135	",309,56.05,41.118,14.3,5898.5,5055.0145,7121.411 ,6053.200 
,1,,,,362.3333333,43.7,43.76133333,13.03333333,5942.2,5168.947233,6693.656222,5689.608 
4,2,1,"32.13142885	","119.56085854	",387,41.55,40.796,14.1,5144.3,4418.9537,6559.936 ,5575.945 
5,2,2,"32.13156034	","119.56096853	",379,39.9,37.696,11.4,5068.9,4491.0454,5700.427 ,4845.363 
6,2,3,"32.13162653	","119.56115301	",296,45.15,36.276,11.5,4661.9,4125.7815,4848.070 ,4120.859 
,2,,,,354,42.2,38.256,11.45,4958.366667,4345.2602,5702.810722,4847.389114
7,3,1,"32.22291686	","119.16888985	",396,45.05,37.238,11.3,5558.1,4930.0347,6643.185 ,5646.707 
8,3,2,"32.22299175	","119.16880101	",477,34.45,37.128,14.2,6121.8,5252.5044,6101.114 ,5185.947 
9,3,3,"32.22324268	","119.16911318	",303,33.9,37.088,11.5,3970.6,3513.981,3809.568 ,3238.133 
,3,,,,392,37.8,37.15133333,12.33333333,5216.833333,4565.5067,5517.955704,4690.262348
10,4,1,"31.83326943	","118.86528052	",391,46.25,44.818,12.3,6019,5278.663,8104.775 ,6889.059 
11,4,2,"31.83327457	","118.86511996	",381,42.3,38.548,12.1,6252.5,5495.9475,6212.511 ,5280.635 
12,4,3,"31.83326347	","118.86490221	",417,43.8,38.908,11.5,6678.8,5910.738,7106.391 ,6040.432 
,4,,,,396.3333333,44.11666667,40.758,11.96666667,6316.766667,5561.782833,7141.225656,6070.041807
13,5,1,"31.81681588	","119.09200369	",410,35.9,42.626,12.1,6269.4,5510.8026,6274.121 ,5333.003 
14,5,2,"31.81665791	","119.09200297	",317,34.3,45.396,11.3,5133.7,4553.5919,4935.952 ,4195.560 
15,5,3,"31.81657901	","119.09200991	",408,33.35,46.836,12.1,5945.6,5226.1824,6372.881 ,5416.949 
,5,,,,378.3333333,34.51666667,44.95266667,11.7,5782.9,5096.858967,5860.984755,4981.837041
16,6,1,"31.51436045	","119.10974814	",395,43.3,39.598,12.5,6605.8,5780.075,6772.644 ,5756.747 
17,6,2,"31.51470530	","119.10968288	",576,48.5,41.678,12,9088.2,7997.616,11643.166 ,9896.691 
18,6,3,"31.51515861	","119.10950062	",422,45.4,42.358,12.5,7985,6986.875,8115.285 ,6897.992 
,6,,,,464.3333333,45.73333333,41.21133333,#DIV/0!,7893,6921.522,8843.698171,7517.143446
19,7,1,"31.54867534	","119.43429660	",410,48.05,42.376,14.2,6836.2,5865.4596,8348.284 ,7096.041 
20,7,2,"31.54870976	","119.43418060	",406,37.45,43.606,12,4663.8,4104.144,6630.161 ,5635.637 
21,7,3,"31.54873360	","119.43405434	",427,33.55,42.728,13.8,4888.3,4213.7146,6121.149 ,5202.977 
,7,,,,414.3333333,39.68333333,42.90333333,13.33333333,5462.766667,4727.772733,7033.198183,5978.218456
22,8,1,"31.53380833	","121.07761835	",344,34.45,49.606,14.1,4271.8,3669.4762,5878.708 ,4996.902 
